page_number,line_number,event_number,event_name,relay_team_name,rank_position,seed_time_text,seed_time_ms,result_time_text,result_time_ms,status,raw_line
15,8,12,men 200-239 4x50 SC Meter medley_relay,Master Providencia Chile A,1,NT,,"2:43,14",163140,valid,1 Master Providencia Chile A NT 2:43.14 18
15,10,12,men 200-239 4x50 SC Meter medley_relay,Club Sparta A.C. A,2,NT,,"2:50,30",170300,valid,2 Club Sparta A.C. A NT 2:50.30 14
15,12,12,men 200-239 4x50 SC Meter medley_relay,NÑ unñoa Master A,3,NT,,"4:19,61",259610,valid,3 NÑ unñoa Master A NT 4:19.61 12
15,15,12,men 280-319 4x50 SC Meter medley_relay,Penñalolen Master A,,NT,,DQ,,dsq,--- Penñalolen Master A NT DQ
15,18,13,women 100-119 4x50 SC Meter freestyle_relay,Aquaclub Maipu A,1,NT,,"2:12,04",132040,valid,1 Aquaclub Maipu A NT 2:12.04 18
15,20,13,women 100-119 4x50 SC Meter freestyle_relay,Club Sparta A.C. A,2,NT,,"2:51,73",171730,valid,2 Club Sparta A.C. A NT 2:51.73 14
15,23,13,women 160-199 4x50 SC Meter freestyle_relay,Club Sparta A.C. A,1,NT,,"3:15,65",195650,valid,1 Club Sparta A.C. A NT 3:15.65 18
15,26,13,women 240-279 4x50 SC Meter freestyle_relay,Andes Talleres A,1,NT,,"4:33,25",273250,valid,1 Andes Talleres A NT 4:33.25 18
15,29,14,men 100-119 4x50 SC Meter freestyle_relay,Aquaclub Maipu A,1,NT,,"2:09,81",129810,valid,1 Aquaclub Maipu A NT 2:09.81 18
15,31,14,men 100-119 4x50 SC Meter freestyle_relay,Pedro Aguirre Cerda A,2,NT,,"2:13,07",133070,valid,2 Pedro Aguirre Cerda A NT 2:13.07 14
15,33,14,men 100-119 4x50 SC Meter freestyle_relay,Club Azul Natacion Mendoza A,,NT,,DNF,,dnf,--- Club Azul Natacion Mendoza A NT DNF
15,36,14,men 120-159 4x50 SC Meter freestyle_relay,Aquaclub Maipu A,1,NT,,"1:56,06",116060,valid,1 Aquaclub Maipu A NT 1:56.06 18
15,38,14,men 120-159 4x50 SC Meter freestyle_relay,Club Sparta A.C. A,2,NT,,"2:10,60",130600,valid,2 Club Sparta A.C. A NT 2:10.60 14
15,41,14,men 160-199 4x50 SC Meter freestyle_relay,Club Sparta A.C. A,1,NT,,"2:37,61",157610,valid,1 Club Sparta A.C. A NT 2:37.61 18
15,43,14,men 160-199 4x50 SC Meter freestyle_relay,Aquaclub Maipu C,2,NT,,"2:40,24",160240,valid,2 Aquaclub Maipu C NT 2:40.24 14
15,45,14,men 160-199 4x50 SC Meter freestyle_relay,Club Azul Natacion Mendoza A,,NT,,DNF,,dnf,--- Club Azul Natacion Mendoza A NT DNF
