page_number,line_number,event_number,event_name,athlete_name,age_at_event,birth_year_estimated,club_name,rank_position,seed_time_text,seed_time_ms,result_time_text,result_time_ms,status,raw_line
1,39,1,women 40-44 200 SC Meter freestyle,"Natalia, Silva",41,1985,Agua Plena San Rafael,5,"4:05,00",245000,"3:40,15",220150,valid,"5 Natalia, Silva 41 Agua Plena San Rafael 4:05.00 3:40.15 4"
1,41,1,women 45-49 200 SC Meter freestyle,"Gestoso Fraga, Maria Soledad",46,1980,Andes Talleres,1,"3:32,00",212000,"3:24,61",204610,valid,"1 Gestoso Fraga, Maria Soledad 46 Andes Talleres 3:32.00 3:24.61 9"
1,42,1,women 45-49 200 SC Meter freestyle,"Gonzalez, Maria",47,1979,Club Sparta A.C.,2,"3:56,08",236080,"3:45,89",225890,valid,"2 Gonzalez, Maria 47 Club Sparta A.C. 3:56.08 3:45.89 7"
1,44,1,women 50-54 200 SC Meter freestyle,"Tapia, Julieta",51,1975,Master Providencia Chile,1,"4:00,00",240000,"3:40,14",220140,valid,"1 Tapia, Julieta 51 Master Providencia Chile 4:00.00 3:40.14 9"
1,46,1,women 55-59 200 SC Meter freestyle,"Figueroa, Angela",58,1968,Club Sparta A.C.,1,"6:58,33",418330,"5:09,75",309750,valid,"1 Figueroa, Angela 58 Club Sparta A.C. 6:58.33 5:09.75 9"
1,48,1,women 60-64 200 SC Meter freestyle,"Case, Cynthia",64,1962,Master Providencia Chile,1,"2:58,42",178420,"2:58,19",178190,valid,"1 Case, Cynthia 64 Master Providencia Chile 2:58.42 2:58.19 9"
1,49,1,women 60-64 200 SC Meter freestyle,"Moyano, Claudia",60,1966,Club Sparta A.C.,2,"3:11,17",191170,"3:05,57",185570,valid,"2 Moyano, Claudia 60 Club Sparta A.C. 3:11.17 3:05.57 7"
1,50,1,women 60-64 200 SC Meter freestyle,"Richardi, Marisa",64,1962,Andes Talleres,3,"5:07,54",307540,"5:11,11",311110,valid,"3 Richardi, Marisa 64 Andes Talleres 5:07.54 5:11.11 6"
1,51,1,women 60-64 200 SC Meter freestyle,"Lopez, Elena",64,1962,Club Sparta A.C.,4,"5:12,55",312550,"5:15,06",315060,valid,"4 Lopez, Elena 64 Club Sparta A.C. 5:12.55 5:15.06 5"
2,5,1,women 65-69 200 SC Meter freestyle,"Concha, Elizabeth",68,1958,NÑ unñoa Master,1,"4:38,00",278000,"3:27,47",207470,valid,"1 Concha, Elizabeth 68 NÑ unñoa Master 4:38.00 3:27.47 9"
2,7,1,women 70-74 200 SC Meter freestyle,"Ruiz, Alicia",70,1956,Andes Talleres,1,"5:19,76",319760,"5:04,03",304030,valid,"1 Ruiz, Alicia 70 Andes Talleres 5:19.76 5:04.03 9"
2,9,1,women 90-94 200 SC Meter freestyle,"Bush, Eliana",92,1934,Delfines DE Las Condes,1,NT,,"5:05,95",305950,valid,"1 Bush, Eliana 92 Delfines DE Las Condes NT 5:05.95 9"
2,11,2,men 19 & Under 200 SC Meter freestyle,"Benegas, Laureano",17,2009,Andes Talleres,1,"2:20,00",140000,"2:14,79",134790,valid,"1 Benegas, Laureano 17 Andes Talleres 2:20.00 2:14.79 9"
2,12,2,men 19 & Under 200 SC Meter freestyle,"Gonzalez, Nicolas Agustíín",19,2007,Andes Talleres,2,"2:19,78",139780,"2:15,55",135550,valid,"2 Gonzalez, Nicolas Agustíín 19 Andes Talleres 2:19.78 2:15.55 7"
2,13,2,men 19 & Under 200 SC Meter freestyle,"Rodriguez, Joaquin",19,2007,Agua Plena San Rafael,3,"3:21,00",201000,"3:06,50",186500,valid,"3 Rodriguez, Joaquin 19 Agua Plena San Rafael 3:21.00 3:06.50 6"
2,15,2,men 20-24 200 SC Meter freestyle,"Galetto, Valentino",22,2004,Club Sparta A.C.,1,"2:14,53",134530,"2:11,15",131150,valid,"1 Galetto, Valentino 22 Club Sparta A.C. 2:14.53 2:11.15 9"
2,16,2,men 20-24 200 SC Meter freestyle,"Gimenez DE Michilis, Tobias",24,2002,Club Sparta A.C.,2,"2:30,78",150780,"2:31,09",151090,valid,"2 Gimenez DE Michilis, Tobias 24 Club Sparta A.C. 2:30.78 2:31.09 7"
2,17,2,men 20-24 200 SC Meter freestyle,"Martinez, Julio",21,2005,Andes Talleres,3,"3:00,00",180000,"2:49,15",169150,valid,"3 Martinez, Julio 21 Andes Talleres 3:00.00 2:49.15 6"
2,18,2,men 20-24 200 SC Meter freestyle,"Moron, Martin",22,2004,Club Azul Natacion Mendoza,4,"3:40,00",220000,"3:08,17",188170,valid,"4 Moron, Martin 22 Club Azul Natacion Mendoza 3:40.00 3:08.17 5"
2,19,2,men 20-24 200 SC Meter freestyle,"Rivas, Leo",24,2002,Club Azul Natacion Mendoza,,"3:10,00",190000,DNF,,dnf,"--- Rivas, Leo 24 Club Azul Natacion Mendoza 3:10.00 DNF"
2,21,2,men 25-29 200 SC Meter freestyle,"Ferro, Bruno A",26,2000,Club Sparta A.C.,1,"2:29,14",149140,"2:24,61",144610,valid,"1 Ferro, Bruno A 26 Club Sparta A.C. 2:29.14 2:24.61 9"
2,22,2,men 25-29 200 SC Meter freestyle,"Ledda, Augusto",26,2000,Club Sparta A.C.,2,"2:32,14",152140,"2:27,29",147290,valid,"2 Ledda, Augusto 26 Club Sparta A.C. 2:32.14 2:27.29 7"
2,23,2,men 25-29 200 SC Meter freestyle,"Ventura, Marcos",27,1999,Club Sparta A.C.,3,"2:37,02",157020,"2:28,83",148830,valid,"3 Ventura, Marcos 27 Club Sparta A.C. 2:37.02 2:28.83 6"
2,24,2,men 25-29 200 SC Meter freestyle,"Caro P, Cristoíbal Fdo",26,2000,Pedro Aguirre Cerda,4,"2:28,20",148200,"2:29,06",149060,valid,"4 Caro P, Cristoíbal Fdo 26 Pedro Aguirre Cerda 2:28.20 2:29.06 5"
2,25,2,men 25-29 200 SC Meter freestyle,"Gonzalez, Daniel",27,1999,NÑ unñoa Master,5,"2:27,00",147000,"2:31,54",151540,valid,"5 Gonzalez, Daniel 27 NÑ unñoa Master 2:27.00 2:31.54 4"
2,26,2,men 25-29 200 SC Meter freestyle,"Meneses, Felipe",27,1999,Pedro Aguirre Cerda,6,"2:42,20",162200,"2:41,09",161090,valid,"6 Meneses, Felipe 27 Pedro Aguirre Cerda 2:42.20 2:41.09 3"
2,27,2,men 25-29 200 SC Meter freestyle,"Robledo, Mariano",26,2000,Club Sparta A.C.,7,"2:46,59",166590,"2:45,95",165950,valid,"7 Robledo, Mariano 26 Club Sparta A.C. 2:46.59 2:45.95 2"
2,28,2,men 25-29 200 SC Meter freestyle,"Bustos Bastias, Brian Gabriel",28,1998,Club Sparta A.C.,8,"2:59,36",179360,"2:50,33",170330,valid,"8 Bustos Bastias, Brian Gabriel 28 Club Sparta A.C. 2:59.36 2:50.33 1"
2,29,2,men 25-29 200 SC Meter freestyle,"Perez, Maximiliano",28,1998,Agua Plena San Rafael,9,"3:27,00",207000,"3:09,15",189150,valid,"9 Perez, Maximiliano 28 Agua Plena San Rafael 3:27.00 3:09.15"
2,31,2,men 30-34 200 SC Meter freestyle,"Mugnani Valero, Luciano",32,1994,Andes Talleres,1,"2:30,00",150000,"2:22,73",142730,valid,"1 Mugnani Valero, Luciano 32 Andes Talleres 2:30.00 2:22.73 9"
2,32,2,men 30-34 200 SC Meter freestyle,"Mallea, Abdo",33,1993,Club Sparta A.C.,2,"2:41,38",161380,"2:36,80",156800,valid,"2 Mallea, Abdo 33 Club Sparta A.C. 2:41.38 2:36.80 7"
2,33,2,men 30-34 200 SC Meter freestyle,"Castro, Alexis",34,1992,Master Providencia Chile,3,"2:47,98",167980,"2:40,00",160000,valid,"3 Castro, Alexis 34 Master Providencia Chile 2:47.98 2:40.00 6"
2,34,2,men 30-34 200 SC Meter freestyle,"Ventura, Maxi",32,1994,Club Azul Natacion Mendoza,4,"3:10,00",190000,"2:43,05",163050,valid,"4 Ventura, Maxi 32 Club Azul Natacion Mendoza 3:10.00 2:43.05 5"
2,35,2,men 30-34 200 SC Meter freestyle,"Alcaraz, Matias",33,1993,Club Sparta A.C.,5,"3:10,35",190350,"2:48,65",168650,valid,"5 Alcaraz, Matias 33 Club Sparta A.C. 3:10.35 2:48.65 4"
2,36,2,men 30-34 200 SC Meter freestyle,"Maldonado, Nicolas",31,1995,Agua Plena San Rafael,6,"3:42,00",222000,"3:12,24",192240,valid,"6 Maldonado, Nicolas 31 Agua Plena San Rafael 3:42.00 3:12.24 3"
2,37,2,men 30-34 200 SC Meter freestyle,"Romero, Gonzalo",33,1993,Club Sparta A.C.,7,"3:23,34",203340,"3:14,33",194330,valid,"7 Romero, Gonzalo 33 Club Sparta A.C. 3:23.34 3:14.33 2"
2,38,2,men 30-34 200 SC Meter freestyle,"Lelio, Leandro",30,1996,Club Sparta A.C.,8,"3:30,21",210210,"3:19,97",199970,valid,"8 Lelio, Leandro 30 Club Sparta A.C. 3:30.21 3:19.97 1"
2,39,2,men 30-34 200 SC Meter freestyle,"Degiorgi, Emiliano",34,1992,Club Sparta A.C.,9,"3:49,12",229120,"3:36,89",216890,valid,"9 Degiorgi, Emiliano 34 Club Sparta A.C. 3:49.12 3:36.89"
2,40,2,men 30-34 200 SC Meter freestyle,"Magnenat, Javier",34,1992,Agua Plena San Rafael,,"3:30,00",210000,DNF,,dnf,"--- Magnenat, Javier 34 Agua Plena San Rafael 3:30.00 DNF"
2,41,2,men 30-34 200 SC Meter freestyle,"Ortega, Atilio",32,1994,Club Sparta A.C.,,"2:42,30",162300,DNF,,dnf,"--- Ortega, Atilio 32 Club Sparta A.C. 2:42.30 DNF"
2,43,2,men 35-39 200 SC Meter freestyle,"Alchapar, Oscar Alejandro",35,1991,Club Sparta A.C.,1,"2:27,43",147430,"2:26,20",146200,valid,"1 Alchapar, Oscar Alejandro 35 Club Sparta A.C. 2:27.43 2:26.20 9"
2,44,2,men 35-39 200 SC Meter freestyle,"Castro, Javier",35,1991,Club Sparta A.C.,2,"2:32,17",152170,"2:34,60",154600,valid,"2 Castro, Javier 35 Club Sparta A.C. 2:32.17 2:34.60 7"
2,45,2,men 35-39 200 SC Meter freestyle,"Mansilla, Juan",35,1991,Club Sparta A.C.,3,"2:34,94",154940,"2:39,70",159700,valid,"3 Mansilla, Juan 35 Club Sparta A.C. 2:34.94 2:39.70 6"
2,46,2,men 35-39 200 SC Meter freestyle,"Rubin, Fernando",39,1987,Club DE Natacion Atlantis,4,"3:05,00",185000,"2:53,39",173390,valid,"4 Rubin, Fernando 39 Club DE Natacion Atlantis 3:05.00 2:53.39 5"
2,47,2,men 35-39 200 SC Meter freestyle,"Aguilera, Juan Carlos",37,1989,Master Providencia Chile,5,"3:31,91",211910,"3:13,70",193700,valid,"5 Aguilera, Juan Carlos 37 Master Providencia Chile 3:31.91 3:13.70 4"
2,48,2,men 35-39 200 SC Meter freestyle,"Barreto, Yuhneyber",39,1987,Pedro Aguirre Cerda,6,"3:20,00",200000,"3:33,64",213640,valid,"6 Barreto, Yuhneyber 39 Pedro Aguirre Cerda 3:20.00 3:33.64 3"
2,49,2,men 35-39 200 SC Meter freestyle,"Yanzon, Matias",39,1987,Club Sparta A.C.,7,"3:25,41",205410,"3:36,56",216560,valid,"7 Yanzon, Matias 39 Club Sparta A.C. 3:25.41 3:36.56 2"
2,50,2,men 35-39 200 SC Meter freestyle,"Rodriguez, Alberto",36,1990,Club Sparta A.C.,,"4:45,12",285120,DQ,,dsq,"--- Rodriguez, Alberto 36 Club Sparta A.C. 4:45.12 DQ"
2,51,2,men 35-39 200 SC Meter freestyle,"Nievas, Emmanuel",35,1991,Club Sparta A.C.,,"3:00,11",180110,DNF,,dnf,"--- Nievas, Emmanuel 35 Club Sparta A.C. 3:00.11 DNF"
3,5,2,men 40-44 200 SC Meter freestyle,"Azevedo, Marcio",44,1982,Club Sparta A.C.,1,"2:34,30",154300,"2:29,72",149720,valid,"1 Azevedo, Marcio 44 Club Sparta A.C. 2:34.30 2:29.72 9"
3,6,2,men 40-44 200 SC Meter freestyle,"Turela, Marcos",40,1986,Andes Talleres,2,"2:45,22",165220,"2:47,07",167070,valid,"2 Turela, Marcos 40 Andes Talleres 2:45.22 2:47.07 7"
3,7,2,men 40-44 200 SC Meter freestyle,"Martin, Leonardo",44,1982,Andes Talleres,3,"2:45,00",165000,"2:50,93",170930,valid,"3 Martin, Leonardo 44 Andes Talleres 2:45.00 2:50.93 6"
3,8,2,men 40-44 200 SC Meter freestyle,"Munñoz, Carlos",42,1984,Club Dep Master Magallanes,4,"3:00,00",180000,"2:57,83",177830,valid,"4 Munñoz, Carlos 42 Club Dep Master Magallanes 3:00.00 2:57.83 5"
3,9,2,men 40-44 200 SC Meter freestyle,"Maron, Horacio",44,1982,Club Sparta A.C.,5,"3:06,79",186790,"3:10,53",190530,valid,"5 Maron, Horacio 44 Club Sparta A.C. 3:06.79 3:10.53 4"
3,10,2,men 40-44 200 SC Meter freestyle,"Maza, Carlos",40,1986,Club Sparta A.C.,6,"3:05,24",185240,"3:22,46",202460,valid,"6 Maza, Carlos 40 Club Sparta A.C. 3:05.24 3:22.46 3"
3,11,2,men 40-44 200 SC Meter freestyle,"Escudero, Daniel",40,1986,Club Sparta A.C.,7,"3:46,55",226550,"3:37,01",217010,valid,"7 Escudero, Daniel 40 Club Sparta A.C. 3:46.55 3:37.01 2"
3,12,2,men 40-44 200 SC Meter freestyle,"Romero, Christian",42,1984,NÑ unñoa Master,,"3:13,94",193940,DNF,,dnf,"--- Romero, Christian 42 NÑ unñoa Master 3:13.94 DNF"
3,14,2,men 45-49 200 SC Meter freestyle,"Profili, Osvaldo L",47,1979,Club Sparta A.C.,1,"2:52,56",172560,"2:42,61",162610,valid,"1 Profili, Osvaldo L 47 Club Sparta A.C. 2:52.56 2:42.61 9"
3,15,2,men 45-49 200 SC Meter freestyle,"Catelino, Daniel",49,1977,Andes Talleres,2,"3:20,00",200000,"3:15,66",195660,valid,"2 Catelino, Daniel 49 Andes Talleres 3:20.00 3:15.66 7"
3,17,2,men 50-54 200 SC Meter freestyle,"Boreto, Federico",50,1976,Andes Talleres,1,"2:35,00",155000,"2:34,28",154280,valid,"1 Boreto, Federico 50 Andes Talleres 2:35.00 2:34.28 9"
3,18,2,men 50-54 200 SC Meter freestyle,"Catalan, Marcelo",52,1974,Master Providencia Chile,2,"2:50,00",170000,"2:44,94",164940,valid,"2 Catalan, Marcelo 52 Master Providencia Chile 2:50.00 2:44.94 7"
3,19,2,men 50-54 200 SC Meter freestyle,"Lucero, Gaston",50,1976,Club Sparta A.C.,3,"2:49,32",169320,"2:47,09",167090,valid,"3 Lucero, Gaston 50 Club Sparta A.C. 2:49.32 2:47.09 6"
3,20,2,men 50-54 200 SC Meter freestyle,"Henrííquez, Pablo",54,1972,Andes Talleres,4,"3:35,00",215000,"3:19,26",199260,valid,"4 Henrííquez, Pablo 54 Andes Talleres 3:35.00 3:19.26 5"
3,21,2,men 50-54 200 SC Meter freestyle,"Sosa, Carlos",50,1976,Aquaclub Maipu,5,"3:36,42",216420,"3:28,62",208620,valid,"5 Sosa, Carlos 50 Aquaclub Maipu 3:36.42 3:28.62 4"
3,22,2,men 50-54 200 SC Meter freestyle,"Cabrera, Hernan",53,1973,Club Sparta A.C.,6,"4:01,32",241320,"3:52,45",232450,valid,"6 Cabrera, Hernan 53 Club Sparta A.C. 4:01.32 3:52.45 3"
3,23,2,men 50-54 200 SC Meter freestyle,"Medina, Carlos",53,1973,Master Providencia Chile,7,"6:00,00",360000,"6:29,99",389990,valid,"7 Medina, Carlos 53 Master Providencia Chile 6:00.00 6:29.99 2"
3,25,2,men 55-59 200 SC Meter freestyle,"Figueroa, Miguel",59,1967,Club Azul Natacion Mendoza,1,"3:39,65",219650,"3:43,99",223990,valid,"1 Figueroa, Miguel 59 Club Azul Natacion Mendoza 3:39.65 3:43.99 9"
3,26,2,men 55-59 200 SC Meter freestyle,"Velazquez, Orlando",56,1970,Aquaclub Maipu,2,"4:38,07",278070,"4:28,41",268410,valid,"2 Velazquez, Orlando 56 Aquaclub Maipu 4:38.07 4:28.41 7"
3,28,2,men 60-64 200 SC Meter freestyle,"Oliva, Ricardo",61,1965,Club Sparta A.C.,1,"3:45,87",225870,"3:33,39",213390,valid,"1 Oliva, Ricardo 61 Club Sparta A.C. 3:45.87 3:33.39 9"
3,29,2,men 60-64 200 SC Meter freestyle,"Vargas, Jose Luis",60,1966,Golden,2,"3:30,00",210000,"4:10,21",250210,valid,"2 Vargas, Jose Luis 60 Golden 3:30.00 4:10.21 7"
3,31,2,men 65-69 200 SC Meter freestyle,"Domina, Ricardo",67,1959,Club Sparta A.C.,1,"2:54,29",174290,"3:19,08",199080,valid,"1 Domina, Ricardo 67 Club Sparta A.C. 2:54.29 3:19.08 9"
3,32,2,men 65-69 200 SC Meter freestyle,"Cabello, Jorge",68,1958,Penñalolen Master,2,"4:00,00",240000,"3:26,06",206060,valid,"2 Cabello, Jorge 68 Penñalolen Master 4:00.00 3:26.06 7"
3,33,2,men 65-69 200 SC Meter freestyle,"Aguirre, Miguel",68,1958,Agua Plena San Rafael,3,"4:53,00",293000,"3:41,41",221410,valid,"3 Aguirre, Miguel 68 Agua Plena San Rafael 4:53.00 3:41.41 6"
3,34,2,men 65-69 200 SC Meter freestyle,"Moreno, Luis",68,1958,NÑ unñoa Master,4,"5:55,40",355400,"4:42,42",282420,valid,"4 Moreno, Luis 68 NÑ unñoa Master 5:55.40 4:42.42 5"
3,36,2,men 70-74 200 SC Meter freestyle,"Alvarez, Ricardo",73,1953,NÑ unñoa Master,1,"4:24,50",264500,"4:40,88",280880,valid,"1 Alvarez, Ricardo 73 NÑ unñoa Master 4:24.50 4:40.88 9"
3,38,3,women 19 & Under 100 SC Meter butterfly,"Chertcoff, Victoria",18,2008,Agua Plena San Rafael,1,"1:50,00",110000,"1:36,26",96260,valid,"1 Chertcoff, Victoria 18 Agua Plena San Rafael 1:50.00 1:36.26 9"
3,40,3,women 20-24 100 SC Meter butterfly,"Muchut Moyano, Rocíío Alumine í",24,2002,Club Sparta A.C.,1,"1:20,89",80890,"1:19,57",79570,valid,"1 Muchut Moyano, Rocíío Alumine í 24 Club Sparta A.C. 1:20.89 1:19.57 9"
3,41,3,women 20-24 100 SC Meter butterfly,"Vidal, Pierina",21,2005,Club Sparta A.C.,2,"1:30,36",90360,"1:26,74",86740,valid,"2 Vidal, Pierina 21 Club Sparta A.C. 1:30.36 1:26.74 7"
3,43,3,women 25-29 100 SC Meter butterfly,"Castro A, Paula A",26,2000,Pedro Aguirre Cerda,1,"1:30,00",90000,"1:20,36",80360,valid,"1 Castro A, Paula A 26 Pedro Aguirre Cerda 1:30.00 1:20.36 9"
3,44,3,women 25-29 100 SC Meter butterfly,"Dave, Gisela",28,1998,Aquaclub Maipu,2,"1:29,47",89470,"1:24,22",84220,valid,"2 Dave, Gisela 28 Aquaclub Maipu 1:29.47 1:24.22 7"
3,45,3,women 25-29 100 SC Meter butterfly,"Arce, Aisha",28,1998,Club Sparta A.C.,3,"1:45,49",105490,"1:42,57",102570,valid,"3 Arce, Aisha 28 Club Sparta A.C. 1:45.49 1:42.57 6"
3,47,3,women 30-34 100 SC Meter butterfly,"Loípez, Diane",30,1996,Pedro Aguirre Cerda,1,"1:35,00",95000,"1:40,30",100300,valid,"1 Loípez, Diane 30 Pedro Aguirre Cerda 1:35.00 1:40.30 9"
3,48,3,women 30-34 100 SC Meter butterfly,"Zapata, Rocio Nicole",31,1995,Club DE Natacion Atlantis,2,"1:50,00",110000,"1:47,36",107360,valid,"2 Zapata, Rocio Nicole 31 Club DE Natacion Atlantis 1:50.00 1:47.36 7"
4,5,3,women 35-39 100 SC Meter butterfly,"Fravega, Julieta",39,1987,Club Sparta A.C.,1,"2:02,95",122950,"2:02,61",122610,valid,"1 Fravega, Julieta 39 Club Sparta A.C. 2:02.95 2:02.61 9"
4,7,3,women 40-44 100 SC Meter butterfly,"Cabeza, Maria Belen",40,1986,Andes Talleres,1,"1:21,32",81320,"1:18,66",78660,valid,"1 Cabeza, Maria Belen 40 Andes Talleres 1:21.32 1:18.66 9"
4,9,3,women 45-49 100 SC Meter butterfly,"Gonzalez, Maria",47,1979,Club Sparta A.C.,1,"2:12,17",132170,"1:51,40",111400,valid,"1 Gonzalez, Maria 47 Club Sparta A.C. 2:12.17 1:51.40 6"
4,10,3,women 45-49 100 SC Meter butterfly,"Gestoso Fraga, Maria Soledad",46,1980,Andes Talleres,2,"1:56,91",116910,"1:56,51",116510,valid,"2 Gestoso Fraga, Maria Soledad 46 Andes Talleres 1:56.91 1:56.51 9"
4,11,3,women 45-49 100 SC Meter butterfly,"Guadalupe, Cynthia",45,1981,Master Providencia Chile,3,"1:45,00",105000,"1:57,06",117060,valid,"3 Guadalupe, Cynthia 45 Master Providencia Chile 1:45.00 1:57.06 7"
4,13,3,women 50-54 100 SC Meter butterfly,"Tapia, Julieta",51,1975,Master Providencia Chile,1,"2:10,00",130000,"2:02,81",122810,valid,"1 Tapia, Julieta 51 Master Providencia Chile 2:10.00 2:02.81 9"
