event_name,athlete_name,club_name,rank_position,result_time_text,result_time_ms,status,source_id
Men 25-29 200 LC Meter IM,"Meneses, Felipe",Pedro Aguirre Cerda,4,"3:21,99",201990,valid,1
Men 25-29 200 LC Meter IM,"Walder, Raul",100 por Ciento Swim,5,"4:11,52",251520,valid,1
Men 30-34 200 LC Meter IM,"Castellano, Ricardo",Nunoa Master,1,"2:48,30",168300,valid,1
Men 30-34 200 LC Meter IM,"Sayago, Alexis",Nunoa Master,2,"3:20,24",200240,valid,1
Men 30-34 200 LC Meter IM,"Miranda, Milanch",Calambre Swim Team,3,"3:50,37",230370,valid,1
Men 35-39 200 LC Meter IM,"Guajardo, Juan Pablo",Penñalolen Master,1,"3:29,11",209110,valid,1
Men 35-39 200 LC Meter IM,"Aguilera, Juan Carlos",Master Providencia,2,"3:51,81",231810,valid,1
Men 35-39 200 LC Meter IM,"Curihuinca, Camilo",Natacion Master Recoleta,3,"4:35,60",275600,valid,1
Men 40-44 200 LC Meter IM,"Olivares, Pedro",Golden,1,"2:49,32",169320,valid,1
Men 40-44 200 LC Meter IM,"Gomez, Carlos",Nunoa Master,2,"2:56,17",176170,valid,1
Men 40-44 200 LC Meter IM,"Bricenño, Carlos",100 por Ciento Swim,3,"2:57,98",177980,valid,1
Men 40-44 200 LC Meter IM,"Peralta, Leonardo",Aquaclub Maipu,4,"2:59,32",179320,valid,1
Men 40-44 200 LC Meter IM,"Torres, Renzo",Natacion Master Recoleta,5,"3:17,78",197780,valid,1
Men 40-44 200 LC Meter IM,"Garzon, Jean",Master Providencia,6,"3:18,52",198520,valid,1
Men 45-49 200 LC Meter IM,"Garcia, Alexis",Penñalolen Master,1,"3:03,73",183730,valid,1
Men 45-49 200 LC Meter IM,"Cerrada, Yorggyn",Natacion Master Recoleta,2,"3:29,27",209270,valid,1
Men 45-49 200 LC Meter IM,"Parada, Oscar",Nunoa Master,3,"4:04,89",244890,valid,1
Men 50-54 200 LC Meter IM,"Gutierrez Oliveros, Luis",Club Deportivo UC,1,"3:10,33",190330,valid,1
Men 50-54 200 LC Meter IM,"Matulic L, Wladimir",Club Deportivo UC,2,"3:20,98",200980,valid,1
Men 50-54 200 LC Meter IM,"Sevil, Angel",Penñalolen Master,3,"3:30,56",210560,valid,1
Men 50-54 200 LC Meter IM,"Medina, Carlos",Master Providencia,4,"6:26,19",386190,valid,1
Men 55-59 200 LC Meter IM,"Briones, Eduardo",Master Providencia,1,"2:55,10",175100,valid,1
Men 55-59 200 LC Meter IM,"Montes, Eduardo",Master Providencia,2,"4:15,75",255750,valid,1
Men 55-59 200 LC Meter IM,"Velazquez, Orlando",Aquaclub Maipu,3,"6:09,57",369570,valid,1
Men 60-64 200 LC Meter IM,"Jimenez, Andres",Natacion Master Buin,1,"3:51,73",231730,valid,1
Men 60-64 200 LC Meter IM,"Aguirre, Jose Ignacio",Penñalolen Master,2,"4:19,69",259690,valid,1
Men 60-64 200 LC Meter IM,"Vargas, Jose Luis",Golden,3,"5:06,19",306190,valid,1
Women 19 & Under 50 LC Meter Butterfly,"Chertcoff, Victoria",Agua Plena San Rafael,1,"41,38",41380,valid,1
Women 20-24 50 LC Meter Butterfly,"Guinñazu, Selene",Aquaclub Maipu,1,"45,64",45640,valid,1
Women 20-24 50 LC Meter Butterfly,"Avila, Sofia",Orinoco Swim,2,"48,86",48860,valid,1
Women 25-29 50 LC Meter Butterfly,"Dave, Gisela",Aquaclub Maipu,1,"35,93",35930,valid,1
Women 25-29 50 LC Meter Butterfly,"Mellado, Ana Laura",Aquaclub Maipu,2,"36,07",36070,valid,1
Women 25-29 50 LC Meter Butterfly,"Ubilla, Catalina",Penñalolen Master,3,"38,68",38680,valid,1
Women 25-29 50 LC Meter Butterfly,"Araya, Sofia",100 por Ciento Swim,4,"44,04",44040,valid,1
Women 25-29 50 LC Meter Butterfly,"Tapia, Maria Jesus",Natacion Master Recoleta,5,"53,97",53970,valid,1
Women 25-29 50 LC Meter Butterfly,"Farias, Thiare",Pedro Aguirre Cerda,6,"54,18",54180,valid,1
Women 25-29 50 LC Meter Butterfly,"Carter, Daniela",Penñalolen Master,7,"54,40",54400,valid,1
Women 30-34 50 LC Meter Butterfly,"Lopez, Diane",Pedro Aguirre Cerda,1,"42,23",42230,valid,1
Women 30-34 50 LC Meter Butterfly,"Ramirez, Carolina Isabel",Club Deportivo UC,2,"47,83",47830,valid,1
Women 30-34 50 LC Meter Butterfly,"Sanchez, Johana",Aquaclub Maipu,3,"51,08",51080,valid,1
Women 30-34 50 LC Meter Butterfly,"Herrera Rojas, Gema",Penñalolen Master,4,"51,52",51520,valid,1
Women 30-34 50 LC Meter Butterfly,"Largi, Stephanie",Orinoco Swim,5,"55,81",55810,valid,1
Women 35-39 50 LC Meter Butterfly,"Vacher, Francisca",Golden,1,"37,33",37330,valid,1
Women 35-39 50 LC Meter Butterfly,"Godoy, Ana",Nunoa Master,2,"39,85",39850,valid,1
Women 35-39 50 LC Meter Butterfly,"Nahuelpan, Nicole",100 por Ciento Swim,3,"1:05,98",65980,valid,1
Women 40-44 50 LC Meter Butterfly,"Penña, Daniela",Orinoco Swim,1,"40,06",40060,valid,1
Women 40-44 50 LC Meter Butterfly,"Rodriguez, Diana",Nunoa Master,2,"43,08",43080,valid,1
Women 40-44 50 LC Meter Butterfly,"Mangiameli, Georgina",Nunoa Master,3,"45,41",45410,valid,1
Women 45-49 50 LC Meter Butterfly,"Arriola, Silvia",Aquaclub Maipu,1,"36,74",36740,valid,1
Women 45-49 50 LC Meter Butterfly,"Pino, Carla",Nielol,2,"45,51",45510,valid,1
Women 45-49 50 LC Meter Butterfly,"Defosse, Carla",Master Providencia,3,"46,14",46140,valid,1
Women 45-49 50 LC Meter Butterfly,"Vasquez, Carola",Natacion Master Recoleta,4,"51,33",51330,valid,1
Women 45-49 50 LC Meter Butterfly,"Cooper, Karen",Master Providencia,5,"51,55",51550,valid,1
Women 45-49 50 LC Meter Butterfly,"Rodriguez, Erika",Penñalolen Master,6,"1:06,57",66570,valid,1
Women 45-49 50 LC Meter Butterfly,"Gauna, Noe",Azul Natacion Mendoza,,DQ,,dsq,1
Women 50-54 50 LC Meter Butterfly,"Tapia, Julieta",Master Providencia,1,"50,87",50870,valid,1
Women 50-54 50 LC Meter Butterfly,"Vera, Claudia",Natacion Master Recoleta,2,"1:01,84",61840,valid,1
Women 50-54 50 LC Meter Butterfly,"Sepulveda, Francesca",Calambre Swim Team,3,"1:03,32",63320,valid,1
Women 50-54 50 LC Meter Butterfly,"Cabeza, Marisel",Nunoa Master,4,"1:03,55",63550,valid,1
Women 50-54 50 LC Meter Butterfly,"Gonzalez, Elena",Nunoa Master,5,"1:05,81",65810,valid,1
Women 55-59 50 LC Meter Butterfly,"Perez, Paulina",Natacion Master Recoleta,1,"58,90",58900,valid,1
Women 55-59 50 LC Meter Butterfly,"Crocco, Gianina",Natacion Master Buin,2,"1:04,61",64610,valid,1
Women 60-64 50 LC Meter Butterfly,"Case, Cynthia",Master Providencia,1,"42,49",42490,valid,1
Women 60-64 50 LC Meter Butterfly,"Torres, Sandra",Penñalolen Master,2,"1:01,44",61440,valid,1
Women 60-64 50 LC Meter Butterfly,"Quinones, Ema",Club Deportivo UC,3,"1:02,79",62790,valid,1
Women 60-64 50 LC Meter Butterfly,"Reyes, Irene",Pedro Aguirre Cerda,4,"1:08,57",68570,valid,1
Women 60-64 50 LC Meter Butterfly,"Muüller, Bettina",Penñalolen Master,5,"1:10,18",70180,valid,1
Women 60-64 50 LC Meter Butterfly,"Valdivia, Adriana",Penñalolen Master,6,"1:20,42",80420,valid,1
Women 60-64 50 LC Meter Butterfly,"Moncada, Marisol",Natacion Master Recoleta,7,"1:54,58",114580,valid,1
Women 65-69 50 LC Meter Butterfly,"Pinto Galleguillos, Rosario Soledad",Penñalolen Master,1,"58,40",58400,valid,1
Women 65-69 50 LC Meter Butterfly,"Concha, Elizabeth",Nunoa Master,2,"1:18,29",78290,valid,1
Men 19 & Under 50 LC Meter Butterfly,"Rodriguez, Joaquin",Agua Plena San Rafael,1,"39,61",39610,valid,1
Men 20-24 50 LC Meter Butterfly,"Flores, Jose Luis",Pedro Aguirre Cerda,1,"34,64",34640,valid,1
Men 20-24 50 LC Meter Butterfly,"Gonzalez, Joaquin",Natacion Master Recoleta,2,"34,98",34980,valid,1
Men 20-24 50 LC Meter Butterfly,"Rivas, Leo",Azul Natacion Mendoza,3,"36,70",36700,valid,1
Men 20-24 50 LC Meter Butterfly,"Caro, Martin",Pedro Aguirre Cerda,4,"37,41",37410,valid,1
Men 20-24 50 LC Meter Butterfly,"Trilla, Ignacio",Azul Natacion Mendoza,5,"45,77",45770,valid,1
Men 20-24 50 LC Meter Butterfly,"Torres, Tomas",Golden,6,"47,40",47400,valid,1
Men 25-29 50 LC Meter Butterfly,"Bulnes, Martin",Golden,1,"32,69",32690,valid,1
Men 25-29 50 LC Meter Butterfly,"Caro, Cristobal",Pedro Aguirre Cerda,2,"32,98",32980,valid,1
Men 25-29 50 LC Meter Butterfly,"Moreno, Julian",Aquaclub Maipu,3,"34,61",34610,valid,1
Men 25-29 50 LC Meter Butterfly,"Gonzalez, Daniel",Nunoa Master,4,"34,98",34980,valid,1
Men 25-29 50 LC Meter Butterfly,"Bolanños, Kleiber",Pedro Aguirre Cerda,5,"36,46",36460,valid,1
Men 25-29 50 LC Meter Butterfly,"Fernandez Morales, Nelson",Club Deportivo UC,6,"37,03",37030,valid,1
Men 25-29 50 LC Meter Butterfly,"Rodriguez, Santi",Azul Natacion Mendoza,7,"37,20",37200,valid,1
Men 25-29 50 LC Meter Butterfly,"Aguilera, Gonzalo",Penñalolen Master,8,"39,12",39120,valid,1
Men 25-29 50 LC Meter Butterfly,"Monsalve, Nicolas",Natacion Master Recoleta,9,"39,17",39170,valid,1
Men 25-29 50 LC Meter Butterfly,"Avila, Franco",Penñalolen Master,10,"40,16",40160,valid,1
Men 25-29 50 LC Meter Butterfly,"Yanñez, Sebastian",Natacion Master Recoleta,11,"41,16",41160,valid,1
Men 25-29 50 LC Meter Butterfly,"Walder, Raul",100 por Ciento Swim,12,"44,98",44980,valid,1
Men 25-29 50 LC Meter Butterfly,"Ros, Matias",Aquaclub Maipu,13,"46,01",46010,valid,1
Men 25-29 50 LC Meter Butterfly,"Valenzuela, Osvaldo",Natacion Master Recoleta,14,"49,61",49610,valid,1
Men 25-29 50 LC Meter Butterfly,"Perez, Maximiliano",Agua Plena San Rafael,,DQ,,dsq,1
Men 30-34 50 LC Meter Butterfly,"Lagos, Rodrigo",Natacion Master Recoleta,1,"29,01",29010,valid,1
Men 30-34 50 LC Meter Butterfly,"Lucero, Mauricio",Ciudad de Mendoza,2,"29,47",29470,valid,1
Men 30-34 50 LC Meter Butterfly,"Parra, Nicolas",Pedro Aguirre Cerda,3,"30,10",30100,valid,1
Men 30-34 50 LC Meter Butterfly,"Nava, Juan",Nunoa Master,4,"30,47",30470,valid,1
Men 30-34 50 LC Meter Butterfly,"Becerra, Martin",Pedro Aguirre Cerda,5,"33,77",33770,valid,1
Men 30-34 50 LC Meter Butterfly,"Carrasco, Moises",Nunoa Master,6,"36,78",36780,valid,1
Men 30-34 50 LC Meter Butterfly,"Sayago, Alexis",Nunoa Master,7,"37,21",37210,valid,1
Men 30-34 50 LC Meter Butterfly,"Pacheco Juri, Jose Tomas",Club Deportivo UC,8,"37,69",37690,valid,1
Men 30-34 50 LC Meter Butterfly,"Orrego, Ariel",Calambre Swim Team,9,"38,08",38080,valid,1
Men 30-34 50 LC Meter Butterfly,"Miranda, Milanch",Calambre Swim Team,10,"44,24",44240,valid,1
Men 30-34 50 LC Meter Butterfly,"Ventura, Maxi",Azul Natacion Mendoza,11,"48,63",48630,valid,1
Men 30-34 50 LC Meter Butterfly,"Maldonado, Nicolas",Agua Plena San Rafael,12,"55,66",55660,valid,1
Men 35-39 50 LC Meter Butterfly,"Rincon, Luis",Orinoco Swim,1,"27,58",27580,valid,1
Men 35-39 50 LC Meter Butterfly,"Carrera, Angel",Nunoa Master,2,"30,89",30890,valid,1
Men 35-39 50 LC Meter Butterfly,"Nava, Jose",Nunoa Master,3,"31,21",31210,valid,1
Men 35-39 50 LC Meter Butterfly,"Him, Carlos",Orinoco Swim,4,"32,41",32410,valid,1
Men 35-39 50 LC Meter Butterfly,"Celaya, Ariel",Aquaclub Maipu,5,"33,06",33060,valid,1
Men 35-39 50 LC Meter Butterfly,"Rivera, Luis",Natacion Master Recoleta,6,"35,03",35030,valid,1
Men 35-39 50 LC Meter Butterfly,"Le Cerf, Patricio",Orinoco Swim,7,"41,25",41250,valid,1
Men 35-39 50 LC Meter Butterfly,"Guajardo, Juan Pablo",Penñalolen Master,8,"42,21",42210,valid,1
Men 35-39 50 LC Meter Butterfly,"Sanchez, Marco",Master Providencia,9,"43,75",43750,valid,1
Men 35-39 50 LC Meter Butterfly,"Barreto, Yuhneyber",Pedro Aguirre Cerda,10,"44,44",44440,valid,1
Men 35-39 50 LC Meter Butterfly,"Gonzalez, Matias",Aquaclub Maipu,11,"47,01",47010,valid,1
Men 35-39 50 LC Meter Butterfly,"Curihuinca, Camilo",Natacion Master Recoleta,12,"49,23",49230,valid,1
Men 40-44 50 LC Meter Butterfly,"Bricenño, Carlos",100 por Ciento Swim,1,"31,43",31430,valid,1
Men 40-44 50 LC Meter Butterfly,"Olivares, Pedro",Golden,2,"31,81",31810,valid,1
Men 40-44 50 LC Meter Butterfly,"Garzon, Jean",Master Providencia,3,"32,72",32720,valid,1
Men 40-44 50 LC Meter Butterfly,"Gomez, Carlos",Nunoa Master,4,"32,86",32860,valid,1
Men 40-44 50 LC Meter Butterfly,"Peralta, Leonardo",Aquaclub Maipu,5,"33,21",33210,valid,1
Men 40-44 50 LC Meter Butterfly,"Gonzalez, German",Master Providencia,6,"34,42",34420,valid,1
Men 40-44 50 LC Meter Butterfly,"Osses, Daniel",Nunoa Master,7,"36,37",36370,valid,1
Men 40-44 50 LC Meter Butterfly,"Serrano, Hector",100 por Ciento Swim,8,"41,94",41940,valid,1
Men 45-49 50 LC Meter Butterfly,"Garcia, Alexis",Penñalolen Master,1,"32,22",32220,valid,1
Men 45-49 50 LC Meter Butterfly,"Cerrada, Yorggyn",Natacion Master Recoleta,2,"36,05",36050,valid,1
Men 45-49 50 LC Meter Butterfly,"Winter, Juan Enrique",Club Deportivo UC,3,"39,08",39080,valid,1
Men 45-49 50 LC Meter Butterfly,"Camargo, Pablo Sergio",Aquaclub Maipu,4,"39,92",39920,valid,1
Men 45-49 50 LC Meter Butterfly,"Hidalgo, Victor Andreés",Penñalolen Master,5,"42,98",42980,valid,1
Men 45-49 50 LC Meter Butterfly,"Rojas, Freddy",100 por Ciento Swim,6,"46,43",46430,valid,1
Men 45-49 50 LC Meter Butterfly,"Maureira, Luis",Pedro Aguirre Cerda,7,"51,03",51030,valid,1
Men 50-54 50 LC Meter Butterfly,"Lucena, Larry",Nunoa Master,1,"33,20",33200,valid,1
Men 50-54 50 LC Meter Butterfly,"Gutierrez Oliveros, Luis",Club Deportivo UC,2,"34,35",34350,valid,1
Men 50-54 50 LC Meter Butterfly,"Catalan, Marcelo",Master Providencia,3,"36,55",36550,valid,1
Men 50-54 50 LC Meter Butterfly,"Matulic L, Wladimir",Club Deportivo UC,4,"36,86",36860,valid,1
Men 50-54 50 LC Meter Butterfly,"Siqueira, Pablo",Penñalolen Master,5,"46,89",46890,valid,1
Men 50-54 50 LC Meter Butterfly,"Romo, Fabri",Azul Natacion Mendoza,6,"57,07",57070,valid,1
Men 50-54 50 LC Meter Butterfly,"Medina, Carlos",Master Providencia,7,"1:26,34",86340,valid,1
Men 55-59 50 LC Meter Butterfly,"Briones, Eduardo",Master Providencia,1,"32,41",32410,valid,1
Men 55-59 50 LC Meter Butterfly,"Silva, Raul",Penñalolen Master,2,"39,49",39490,valid,1
Men 55-59 50 LC Meter Butterfly,"Biason, Marcelo",Golden,3,"40,31",40310,valid,1
Men 55-59 50 LC Meter Butterfly,"Ubilla, Juan Carlos",Penñalolen Master,4,"46,24",46240,valid,1
Men 55-59 50 LC Meter Butterfly,"Pacheco C, Mario Alejandro",Club Deportivo UC,5,"50,60",50600,valid,1
Men 55-59 50 LC Meter Butterfly,"Panetti, Mario",Golden,6,"51,09",51090,valid,1
Men 55-59 50 LC Meter Butterfly,"Gonzaélez, Rodrigo",Penñalolen Master,7,"51,92",51920,valid,1
Men 55-59 50 LC Meter Butterfly,"Velazquez, Orlando",Aquaclub Maipu,8,"1:25,99",85990,valid,1
Men 55-59 50 LC Meter Butterfly,"Figueroa, Miguel",Azul Natacion Mendoza,,DQ,,dsq,1
Men 60-64 50 LC Meter Butterfly,"Fuenzalida, Roberto",Penñalolen Master,1,"41,09",41090,valid,1
Men 60-64 50 LC Meter Butterfly,"Jimenez, Andres",Natacion Master Buin,2,"42,48",42480,valid,1
Men 65-69 50 LC Meter Butterfly,"Lucero, Carlos A",Area Club San Luis,1,"44,27",44270,valid,1
Men 65-69 50 LC Meter Butterfly,"Cabello Tilleria, Jorge",Penñalolen Master,2,"46,00",46000,valid,1
Men 65-69 50 LC Meter Butterfly,"Cabello, Andres T",Iron Swim Master,3,"46,92",46920,valid,1
Men 65-69 50 LC Meter Butterfly,"Toledo, Fredi",Natacion Master Recoleta,4,"48,89",48890,valid,1
Men 70-74 50 LC Meter Butterfly,"Donoso, Juan",Master San Bernardo,1,"48,69",48690,valid,1
Men 70-74 50 LC Meter Butterfly,"Alvarez, Ricardo",Nunoa Master,2,"1:48,96",108960,valid,1
Men 75-79 50 LC Meter Butterfly,"Guerra B, Manfredo",Calambre Swim Team,1,"44,26",44260,valid,1
Women 25-29 100 LC Meter Backstroke,"Dave, Gisela",Aquaclub Maipu,1,"1:27,94",87940,valid,1
Women 25-29 100 LC Meter Backstroke,"Nunñez, Manuela",Master Providencia,2,"1:29,95",89950,valid,1
Women 25-29 100 LC Meter Backstroke,"Jimenez, Javiera",Calambre Swim Team,3,"1:50,42",110420,valid,1
Women 25-29 100 LC Meter Backstroke,"Aguilera, Ayelen",Azul Natacion Mendoza,4,"2:02,98",122980,valid,1
Women 30-34 100 LC Meter Backstroke,"Zamora Tapia, Barbara",Master Vitacura Swim,1,"1:32,97",92970,valid,1
Women 30-34 100 LC Meter Backstroke,"Ramirez, Carolina Isabel",Club Deportivo UC,2,"1:45,01",105010,valid,1
Women 35-39 100 LC Meter Backstroke,"Godoy, Ana",Nunoa Master,1,"1:37,26",97260,valid,1
Women 40-44 100 LC Meter Backstroke,"Rodriguez, Diana",Nunoa Master,1,"1:26,08",86080,valid,1
Women 40-44 100 LC Meter Backstroke,"Penña, Daniela",Orinoco Swim,2,"1:45,48",105480,valid,1
Women 40-44 100 LC Meter Backstroke,"Aparicio, Adriana",Nunoa Master,3,"1:46,67",106670,valid,1
Women 40-44 100 LC Meter Backstroke,"Velasquez, Lenismar",Natacion Master Recoleta,4,"1:52,79",112790,valid,1
Women 45-49 100 LC Meter Backstroke,"Guadalupe, Paula",Master Providencia,1,"1:34,96",94960,valid,1
Women 45-49 100 LC Meter Backstroke,"Vasquez, Carola",Natacion Master Recoleta,2,"1:44,94",104940,valid,1
Women 45-49 100 LC Meter Backstroke,"Aguilar, Glaisa",Nunoa Master,3,"1:51,07",111070,valid,1
Women 45-49 100 LC Meter Backstroke,"Cooper, Karen",Master Providencia,4,"1:54,75",114750,valid,1
Women 50-54 100 LC Meter Backstroke,"Jara, Carolina",Natacion Master Buin,1,"1:51,83",111830,valid,1
Women 50-54 100 LC Meter Backstroke,"Vera, Claudia",Natacion Master Recoleta,2,"2:16,65",136650,valid,1
Women 50-54 100 LC Meter Backstroke,"Sepulveda, Francesca",Calambre Swim Team,3,"2:23,05",143050,valid,1
Women 50-54 100 LC Meter Backstroke,"Cabeza, Marisel",Nunoa Master,4,"2:26,30",146300,valid,1
Women 50-54 100 LC Meter Backstroke,"Ojeda, Veroénica",Penñalolen Master,5,"2:32,30",152300,valid,1
Women 50-54 100 LC Meter Backstroke,"Gonzalez, Elena",Nunoa Master,,DQ,,dsq,1
Women 55-59 100 LC Meter Backstroke,"Dable, Marie Claire",Master Providencia,1,"1:52,22",112220,valid,1
Women 55-59 100 LC Meter Backstroke,"Tapia, Marcela",Africa Natacion,,DQ,,dsq,1
Women 60-64 100 LC Meter Backstroke,"Loayza, Alejandra",Master Providencia,1,"1:53,54",113540,valid,1
Women 60-64 100 LC Meter Backstroke,"Acencio, Claudia",Master Providencia,2,"2:03,16",123160,valid,1
Women 60-64 100 LC Meter Backstroke,"Quinones, Ema",Club Deportivo UC,3,"2:21,41",141410,valid,1
Women 60-64 100 LC Meter Backstroke,"Reyes, Irene",Pedro Aguirre Cerda,4,"2:23,51",143510,valid,1
Women 60-64 100 LC Meter Backstroke,"Acunña, Patricia",Master Providencia,5,"2:34,36",154360,valid,1
Women 60-64 100 LC Meter Backstroke,"Valdivia, Adriana",Penñalolen Master,6,"2:44,80",164800,valid,1
Women 60-64 100 LC Meter Backstroke,"Canñete, Soledad",Natacion Master Recoleta,7,"2:48,73",168730,valid,1
Women 60-64 100 LC Meter Backstroke,"Moncada, Marisol",Natacion Master Recoleta,8,"3:12,75",192750,valid,1
Women 65-69 100 LC Meter Backstroke,"Alarcon, Silvia",Natacion Master Recoleta,,DQ,,dsq,1
Women 70-74 100 LC Meter Backstroke,"Munñoz, Maria",Nunoa Master,1,"2:37,58",157580,valid,1
Women 70-74 100 LC Meter Backstroke,"Toro, Soledad",Master Providencia,2,"3:06,87",186870,valid,1
Women 70-74 100 LC Meter Backstroke,"Robles, Graciela",Nunoa Master,3,"3:20,47",200470,valid,1
Women 75-79 100 LC Meter Backstroke,"Nunñez, Elizabeth",Master Providencia,1,"2:36,50",156500,valid,1
Women 85-89 100 LC Meter Backstroke,"Escudero, Oriele",Nunoa Master,1,"2:48,84",168840,valid,1
Men 19 & Under 100 LC Meter Backstroke,"Reis Aguayo, Nelson",Penñalolen Master,1,"1:08,66",68660,valid,1
Men 20-24 100 LC Meter Backstroke,"Rivas, Leo",Azul Natacion Mendoza,1,"1:24,96",84960,valid,1
Men 20-24 100 LC Meter Backstroke,"Zapata Esquivel, Tomas Benja",Aquaclub Maipu,2,"1:30,37",90370,valid,1
Men 25-29 100 LC Meter Backstroke,"Silva, Benjamin",Natacion Master Recoleta,1,"1:19,09",79090,valid,1
Men 25-29 100 LC Meter Backstroke,"Caro, Cristobal",Pedro Aguirre Cerda,2,"1:20,55",80550,valid,1
Men 25-29 100 LC Meter Backstroke,"Saavedra, Lucas",Penñalolen Master,3,"1:33,85",93850,valid,1
Men 25-29 100 LC Meter Backstroke,"Avila, Franco",Penñalolen Master,4,"1:34,03",94030,valid,1
Men 25-29 100 LC Meter Backstroke,"Ros, Matias",Aquaclub Maipu,5,"1:55,19",115190,valid,1
Men 30-34 100 LC Meter Backstroke,"Lagos, Rodrigo",Natacion Master Recoleta,1,"1:09,73",69730,valid,1
Men 30-34 100 LC Meter Backstroke,"Nava, Juan",Nunoa Master,2,"1:19,51",79510,valid,1
Men 30-34 100 LC Meter Backstroke,"Parra, Nicolas",Pedro Aguirre Cerda,3,"1:23,02",83020,valid,1
Men 30-34 100 LC Meter Backstroke,"Cantoro, Sergio",Aquaclub Maipu,4,"1:30,09",90090,valid,1
Men 30-34 100 LC Meter Backstroke,"Pacheco Juri, Jose Tomas",Club Deportivo UC,5,"1:33,35",93350,valid,1
Men 30-34 100 LC Meter Backstroke,"Ventura, Maxi",Azul Natacion Mendoza,6,"1:35,69",95690,valid,1
Men 30-34 100 LC Meter Backstroke,"Magnenat, Javier",Agua Plena San Rafael,7,"1:39,11",99110,valid,1
Men 30-34 100 LC Meter Backstroke,"Barrera, Barrera",Azul Natacion Mendoza,8,"1:49,89",109890,valid,1
Men 35-39 100 LC Meter Backstroke,"Nava, Jose",Nunoa Master,1,"1:19,30",79300,valid,1
Men 35-39 100 LC Meter Backstroke,"Celaya, Ariel",Aquaclub Maipu,2,"1:19,76",79760,valid,1
Men 35-39 100 LC Meter Backstroke,"Aguilera, Juan Carlos",Master Providencia,3,"1:50,52",110520,valid,1
Men 40-44 100 LC Meter Backstroke,"Bricenño, Carlos",100 por Ciento Swim,1,"1:19,96",79960,valid,1
Men 40-44 100 LC Meter Backstroke,"Peralta, Leonardo",Aquaclub Maipu,2,"1:24,32",84320,valid,1
Men 40-44 100 LC Meter Backstroke,"Torres, Renzo",Natacion Master Recoleta,3,"1:27,79",87790,valid,1
