page_number,line_number,event_number,event_name,relay_team_name,rank_position,seed_time_text,seed_time_ms,result_time_text,result_time_ms,status,raw_line
17,28,5,mixed 160-199 200 LC Meter medley_relay,Stadio Italiano A,3,"2:18,00",138000,"2:27,56",147560,valid,"3 Stadio Italiano A 2:18,00 2:27,56"
17,30,5,mixed 160-199 200 LC Meter medley_relay,Ironswim Master A,4,NT,,"2:35,50",155500,valid,"4 Ironswim Master A NT 2:35,50"
17,32,5,mixed 160-199 200 LC Meter medley_relay,Delfines de las Condes A,5,"2:48,00",168000,"2:37,50",157500,valid,"5 Delfines de las Condes A 2:48,00 2:37,50"
17,34,5,mixed 160-199 200 LC Meter medley_relay,Lo Que Boto La Ola A,6,NT,,"2:37,80",157800,valid,"6 Lo Que Boto La Ola A NT 2:37,80"
17,36,5,mixed 160-199 200 LC Meter medley_relay,Squadra Proswim A,7,"2:35,00",155000,"2:49,80",169800,valid,"7 Squadra Proswim A 2:35,00 2:49,80"
17,38,5,mixed 160-199 200 LC Meter medley_relay,Cien por Ciento Swim A,8,NT,,"3:04,23",184230,valid,"8 Cien por Ciento Swim A NT 3:04,23"
17,40,5,mixed 160-199 200 LC Meter medley_relay,Natacion Master Recoleta A,9,NT,,"3:23,69",203690,valid,"9 Natacion Master Recoleta A NT 3:23,69"
17,43,5,mixed 200-239 200 LC Meter medley_relay,Estadio Espanñol A,1,"2:22,00",142000,"2:24,58",144580,valid,"1 Estadio Espanñol A 2:22,00 2:24,58"
17,45,5,mixed 200-239 200 LC Meter medley_relay,Stadio Italiano A,2,"2:31,00",151000,"2:27,02",147020,valid,"2 Stadio Italiano A 2:31,00 2:27,02"
17,47,5,mixed 200-239 200 LC Meter medley_relay,H2o A,3,"2:40,00",160000,"2:32,94",152940,valid,"3 H2o A 2:40,00 2:32,94"
17,49,5,mixed 200-239 200 LC Meter medley_relay,Squadra Proswim A,4,"2:30,00",150000,"2:35,34",155340,valid,"4 Squadra Proswim A 2:30,00 2:35,34"
17,51,5,mixed 200-239 200 LC Meter medley_relay,Delfines de las Condes A,5,"2:58,00",178000,"2:38,10",158100,valid,"5 Delfines de las Condes A 2:58,00 2:38,10"
17,53,5,mixed 200-239 200 LC Meter medley_relay,Nunoa Master A,6,"3:20,00",200000,"2:51,60",171600,valid,"6 Nunoa Master A 3:20,00 2:51,60"
17,55,5,mixed 200-239 200 LC Meter medley_relay,Lozada Swim Team A,7,NT,,"3:05,78",185780,valid,"7 Lozada Swim Team A NT 3:05,78"
18,5,5,mixed 200-239 200 LC Meter medley_relay,Natacion Master Recoleta A,8,"3:00,00",180000,"3:10,62",190620,valid,"8 Natacion Master Recoleta A 3:00,00 3:10,62"
18,7,5,mixed 200-239 200 LC Meter medley_relay,Master Providencia A,9,"3:30,00",210000,"3:11,67",191670,valid,"9 Master Providencia A 3:30,00 3:11,67"
18,9,5,mixed 200-239 200 LC Meter medley_relay,Lo Que Boto La Ola A,10,NT,,"3:32,53",212530,valid,"10 Lo Que Boto La Ola A NT 3:32,53"
18,12,5,mixed 240-279 200 LC Meter medley_relay,Nunoa Master B,1,"8:00,00",480000,"2:17,83",137830,valid,"1 Nunoa Master B 8:00,00 2:17,83"
18,14,5,mixed 240-279 200 LC Meter medley_relay,Delfines de las Condes A,2,"3:23,00",203000,"3:11,62",191620,valid,"2 Delfines de las Condes A 3:23,00 3:11,62"
18,16,5,mixed 240-279 200 LC Meter medley_relay,Ironswim Master A,3,NT,,"3:37,71",217710,valid,"3 Ironswim Master A NT 3:37,71"
18,18,5,mixed 240-279 200 LC Meter medley_relay,Estadio Espanñol A,4,"3:58,00",238000,"4:15,62",255620,valid,"4 Estadio Espanñol A 3:58,00 4:15,62"
18,20,5,mixed 240-279 200 LC Meter medley_relay,Nunoa Master A,,"6:30,00",390000,DQ,,dsq,"--- Nunoa Master A 6:30,00 DQ"
33,20,11,mixed 100-119 200 LC Meter freestyle_relay,Lozada Swim Team A,1,NT,,"2:01,76",121760,valid,"1 Lozada Swim Team A NT 2:01,76"
33,22,11,mixed 100-119 200 LC Meter freestyle_relay,Stadio Italiano A,2,"1:57,00",117000,"2:02,35",122350,valid,"2 Stadio Italiano A 1:57,00 2:02,35"
33,24,11,mixed 100-119 200 LC Meter freestyle_relay,Goura Swim Team A,3,"2:00,00",120000,"2:02,87",122870,valid,"3 Goura Swim Team A 2:00,00 2:02,87"
33,26,11,mixed 100-119 200 LC Meter freestyle_relay,Nunoa Master A,4,"2:02,00",122000,"2:08,18",128180,valid,"4 Nunoa Master A 2:02,00 2:08,18"
33,29,11,mixed 120-159 200 LC Meter freestyle_relay,Lozada Swim Team A,1,NT,,"1:54,15",114150,valid,"1 Lozada Swim Team A NT 1:54,15"
33,31,11,mixed 120-159 200 LC Meter freestyle_relay,Stadio Italiano A,2,"1:51,00",111000,"1:55,05",115050,valid,"2 Stadio Italiano A 1:51,00 1:55,05"
33,33,11,mixed 120-159 200 LC Meter freestyle_relay,Squadra Proswim A,3,"1:56,00",116000,"1:58,64",118640,valid,"3 Squadra Proswim A 1:56,00 1:58,64"
33,35,11,mixed 120-159 200 LC Meter freestyle_relay,Nunoa Master A,4,"2:07,00",127000,"2:00,06",120060,valid,"4 Nunoa Master A 2:07,00 2:00,06"
33,37,11,mixed 120-159 200 LC Meter freestyle_relay,Estadio Espanñol A,5,"2:03,00",123000,"2:06,31",126310,valid,"5 Estadio Espanñol A 2:03,00 2:06,31"
33,39,11,mixed 120-159 200 LC Meter freestyle_relay,Copiapo Swim A,6,NT,,"2:06,46",126460,valid,"6 Copiapo Swim A NT 2:06,46"
33,41,11,mixed 120-159 200 LC Meter freestyle_relay,Goura Swim Team A,7,"2:00,00",120000,"2:06,80",126800,valid,"7 Goura Swim Team A 2:00,00 2:06,80"
33,43,11,mixed 120-159 200 LC Meter freestyle_relay,Ironswim Master A,8,NT,,"2:10,76",130760,valid,"8 Ironswim Master A NT 2:10,76"
33,45,11,mixed 120-159 200 LC Meter freestyle_relay,Cien por Ciento Swim A,9,NT,,"2:14,90",134900,valid,"9 Cien por Ciento Swim A NT 2:14,90"
33,47,11,mixed 120-159 200 LC Meter freestyle_relay,CS Maipu A,10,"3:28,00",208000,"2:20,35",140350,valid,"10 CS Maipu A 3:28,00 2:20,35"
33,49,11,mixed 120-159 200 LC Meter freestyle_relay,Condrictios Team A,11,"2:55,00",175000,"2:21,06",141060,valid,"11 Condrictios Team A 2:55,00 2:21,06"
33,51,11,mixed 120-159 200 LC Meter freestyle_relay,Squadra Proswim B,12,"2:20,00",140000,"2:25,94",145940,valid,"12 Squadra Proswim B 2:20,00 2:25,94"
34,5,11,mixed 120-159 200 LC Meter freestyle_relay,Aguila Natacion A,13,"2:30,00",150000,"2:27,90",147900,valid,"13 Aguila Natacion A 2:30,00 2:27,90"
34,7,11,mixed 120-159 200 LC Meter freestyle_relay,Orinoco Swim Team A,14,"2:30,00",150000,"2:30,51",150510,valid,"14 Orinoco Swim Team A 2:30,00 2:30,51"
34,9,11,mixed 120-159 200 LC Meter freestyle_relay,Cien por Ciento Swim B,15,NT,,"2:49,19",169190,valid,"15 Cien por Ciento Swim B NT 2:49,19"
34,12,11,mixed 160-199 200 LC Meter freestyle_relay,Stadio Italiano A,1,"1:58,00",118000,"2:03,73",123730,valid,"1 Stadio Italiano A 1:58,00 2:03,73"
34,14,11,mixed 160-199 200 LC Meter freestyle_relay,Lozada Swim Team A,2,NT,,"2:04,96",124960,valid,"2 Lozada Swim Team A NT 2:04,96"
34,16,11,mixed 160-199 200 LC Meter freestyle_relay,Nunoa Master A,3,"2:20,00",140000,"2:08,67",128670,valid,"3 Nunoa Master A 2:20,00 2:08,67"
34,18,11,mixed 160-199 200 LC Meter freestyle_relay,Ironswim Master A,4,NT,,"2:16,16",136160,valid,"4 Ironswim Master A NT 2:16,16"
34,20,11,mixed 160-199 200 LC Meter freestyle_relay,H2o A,5,NT,,"2:18,60",138600,valid,"5 H2o A NT 2:18,60"
34,23,11,mixed 200-239 200 LC Meter freestyle_relay,Stadio Italiano A,1,"2:00,00",120000,"2:08,42",128420,valid,"1 Stadio Italiano A 2:00,00 2:08,42"
34,25,11,mixed 200-239 200 LC Meter freestyle_relay,Stadio Italiano B,2,NT,,"2:17,86",137860,valid,"2 Stadio Italiano B NT 2:17,86"
34,27,11,mixed 200-239 200 LC Meter freestyle_relay,Squadra Proswim A,3,"2:50,00",170000,"2:22,00",142000,valid,"3 Squadra Proswim A 2:50,00 2:22,00"
34,29,11,mixed 200-239 200 LC Meter freestyle_relay,Nunoa Master A,4,"2:35,00",155000,"2:24,61",144610,valid,"4 Nunoa Master A 2:35,00 2:24,61"
34,31,11,mixed 200-239 200 LC Meter freestyle_relay,Delfines de las Condes A,5,"2:31,00",151000,"2:26,83",146830,valid,"5 Delfines de las Condes A 2:31,00 2:26,83"
34,33,11,mixed 200-239 200 LC Meter freestyle_relay,Africa Natacion A,6,NT,,"2:30,39",150390,valid,"6 Africa Natacion A NT 2:30,39"
34,35,11,mixed 200-239 200 LC Meter freestyle_relay,Natacion Master Recoleta A,7,"3:00,00",180000,"2:44,44",164440,valid,"7 Natacion Master Recoleta A 3:00,00 2:44,44"
34,37,11,mixed 200-239 200 LC Meter freestyle_relay,Lozada Swim Team A,8,NT,,"2:47,71",167710,valid,"8 Lozada Swim Team A NT 2:47,71"
34,40,11,mixed 240-279 200 LC Meter freestyle_relay,Stadio Italiano A,1,"2:21,00",141000,"2:28,41",148410,valid,"1 Stadio Italiano A 2:21,00 2:28,41"
34,42,11,mixed 240-279 200 LC Meter freestyle_relay,Delfines de las Condes A,2,"3:30,00",210000,"2:37,85",157850,valid,"2 Delfines de las Condes A 3:30,00 2:37,85"
34,44,11,mixed 240-279 200 LC Meter freestyle_relay,Nunoa Master A,3,"3:30,00",210000,"3:01,77",181770,valid,"3 Nunoa Master A 3:30,00 3:01,77"
34,46,11,mixed 240-279 200 LC Meter freestyle_relay,Ironswim Master A,4,NT,,"3:10,27",190270,valid,"4 Ironswim Master A NT 3:10,27"
34,48,11,mixed 240-279 200 LC Meter freestyle_relay,Estadio Espanñol A,5,"2:15,00",135000,"3:13,90",193900,valid,"5 Estadio Espanñol A 2:15,00 3:13,90"
